Date,Close,Retorno
17/04/2017,"3,749284269","0,34"
18/04/2017,"3,749659235","0,01"
19/04/2017,"3,749659235","0,00"
20/04/2017,"3,749659235","0,00"
21/04/2017,-,-
24/04/2017,"3,749284269","-0,01"
25/04/2017,"3,742159917","-0,19"
26/04/2017,"3,749659235","0,20"
27/04/2017,"3,742159917","-0,20"
28/04/2017,"3,749659235","0,20"
01/05/2017,-,-
02/05/2017,"3,772384443","0,61"
03/05/2017,"3,779959512","0,20"
04/05/2017,"3,772384443","-0,20"
05/05/2017,"3,78526206","0,34"
08/05/2017,"3,768596908","-0,44"
09/05/2017,"3,783747046","0,40"
10/05/2017,"3,779959512","-0,10"
11/05/2017,"3,768975662","-0,29"
12/05/2017,"3,768596908","-0,01"
15/05/2017,"3,786398321","0,47"
16/05/2017,"3,786777074","0,01"
17/05/2017,"3,785640814","-0,03"
18/05/2017,"3,730721562","-1,45"
19/05/2017,"3,712162643","-0,50"
22/05/2017,"3,730721562","0,50"
23/05/2017,"3,730721562","0,00"
24/05/2017,"3,768218155","1,01"
25/05/2017,"3,786777074","0,49"
26/05/2017,"3,787534581","0,02"
29/05/2017,"3,766703141","-0,55"
30/05/2017,"3,779580758","0,34"
31/05/2017,"3,768218155","-0,30"
01/06/2017,"3,772413964","0,11"
02/06/2017,"3,734270243","-1,01"
05/06/2017,"3,738084615","0,10"
06/06/2017,"3,776228336","1,02"
07/06/2017,"3,738084615","-1,01"
08/06/2017,"3,722827127","-0,41"
09/06/2017,"3,782331331","1,60"
12/06/2017,"3,770506778","-0,31"
13/06/2017,"3,747620546","-0,61"
14/06/2017,"3,753342104","0,15"
15/06/2017,-,-
16/06/2017,"3,738084615","-0,41"
19/06/2017,"3,738084615","0,00"
20/06/2017,"3,738084615","0,00"
21/06/2017,"3,732363057","-0,15"
22/06/2017,"3,738084615","0,15"
23/06/2017,"3,757156476","0,51"
26/06/2017,"3,738084615","-0,51"
27/06/2017,"3,724734313","-0,36"
28/06/2017,"3,717105569","-0,20"
29/06/2017,"3,698033709","-0,51"
30/06/2017,"3,667518732","-0,83"
03/07/2017,"3,750215799","2,25"
04/07/2017,"3,737907398","-0,33"
05/07/2017,"3,765601299","0,74"
06/07/2017,"3,692520171","-1,94"
07/07/2017,"3,698289734","0,16"
10/07/2017,"3,730599285","0,87"
11/07/2017,"3,729060735","-0,04"
12/07/2017,"3,750215799","0,57"
13/07/2017,"3,765601299","0,41"
14/07/2017,"3,778294338","0,34"
17/07/2017,"3,763678112","-0,39"
18/07/2017,"3,776755787","0,35"
19/07/2017,"3,750985074","-0,68"
20/07/2017,"3,769447675","0,49"
21/07/2017,"3,766370574","-0,08"
24/07/2017,"3,7686784","0,06"
25/07/2017,"3,776755787","0,21"
26/07/2017,"3,779832888","0,08"
27/07/2017,"3,788679551","0,23"
28/07/2017,"3,788679551","0,00"
31/07/2017,"3,788294913","-0,01"
01/08/2017,"3,803038379","0,39"
02/08/2017,"3,821661706","0,49"
03/08/2017,"3,821661706","0,00"
04/08/2017,"3,802262408","-0,51"
07/08/2017,"3,821661706","0,51"
08/08/2017,"3,821661706","0,00"
09/08/2017,"3,821661706","0,00"
10/08/2017,"3,821661706","0,00"
